0.1,1.2461,1.3821
0.1,1.2533,1.3357
0.1,1.2756,1.3979
0.1,1.2733,1.3291
0.1,1.232,1.3507
0.1,1.239,1.3455
0.1,1.2681,1.3197
0.1,1.2275,1.3993
0.1,1.2987,1.3218
0.1,1.2185,1.3188
0.1,1.2253,1.3977
0.1,1.2273,1.3366
0.1,1.2152,1.3894
0.1,1.2218,1.3482
0.1,1.2581,1.3485
0.1,1.2279,1.3689
0.1,1.2185,1.3463
0.1,1.2446,1.3591
0.1,1.2881,1.3334
0.1,1.2491,1.3711
0.2,1.2128,1.3007
0.2,1.2729,1.3559
0.2,1.2716,1.2982
0.2,1.2072,1.3704
0.2,1.2865,1.3283
0.2,1.2553,1.3148
0.2,1.2076,1.3009
0.2,1.2426,1.3598
0.2,1.2239,1.3583
0.2,1.2788,1.307
0.2,1.2728,1.3609
0.2,1.2808,1.3152
0.2,1.1906,1.3298
0.2,1.2709,1.3361
0.2,1.2272,1.3792
0.2,1.2711,1.3614
0.2,1.2731,1.3205
0.2,1.2252,1.3209
0.2,1.2084,1.3461
0.2,1.215,1.3271
0.3,1.2394,1.2936
0.3,1.2687,1.3299
0.3,1.1901,1.2953
0.3,1.2147,1.3483
0.3,1.213,1.3534
0.3,1.1993,1.2891
0.3,1.2152,1.3305
0.3,1.1973,1.3252
0.3,1.2344,1.3092
0.3,1.2677,1.3718
0.3,1.2702,1.3434
0.3,1.1949,1.3273
0.3,1.2006,1.3113
0.3,1.2281,1.3054
0.3,1.259,1.3175
0.3,1.2239,1.3734
0.3,1.1934,1.3295
0.3,1.2084,1.3346
0.3,1.2167,1.3654
0.3,1.1952,1.2883
0.4,1.1936,1.3261
0.4,1.1818,1.3271
0.4,1.2385,1.2588
0.4,1.2455,1.2838
0.4,1.2378,1.3448
0.4,1.159,1.3353
0.4,1.2196,1.3501
0.4,1.1587,1.3061
0.4,1.2509,1.3374
0.4,1.171,1.2728
0.4,1.1858,1.2885
0.4,1.2539,1.3395
0.4,1.1817,1.2597
0.4,1.2197,1.3129
0.4,1.2374,1.3348
0.4,1.2183,1.2657
0.4,1.2094,1.2658
0.4,1.243,1.2948
0.4,1.1957,1.3272
0.4,1.2028,1.2912
0.5,1.2228,1.3369
0.5,1.2059,1.2684
0.5,1.2096,1.2524
0.5,1.16,1.2933
0.5,1.2328,1.2618
0.5,1.2403,1.2531
0.5,1.2189,1.2724
0.5,1.156,1.2505
0.5,1.2365,1.3367
0.5,1.2304,1.2997
0.5,1.2342,1.3221
0.5,1.1919,1.3415
0.5,1.1864,1.2888
0.5,1.175,1.3392
0.5,1.2493,1.299
0.5,1.1911,1.3043
0.5,1.1861,1.3164
0.5,1.1673,1.3089
0.5,1.1764,1.2501
0.5,1.1598,1.2882
0.6,1.1519,1.2827
0.6,1.1428,1.3266
0.6,1.1642,1.269
0.6,1.1344,1.278
0.6,1.1968,1.2632
0.6,1.224,1.2619
0.6,1.1623,1.2731
0.6,1.1727,1.2547
0.6,1.2046,1.2969
0.6,1.2201,1.3234
0.6,1.1844,1.232
0.6,1.1359,1.3178
0.6,1.1943,1.3121
0.6,1.1782,1.2938
0.6,1.1442,1.2943
0.6,1.1408,1.3074
0.6,1.2238,1.2998
0.6,1.1538,1.3333
0.6,1.2317,1.308
0.6,1.2074,1.2572
0.7,1.1906,1.2586
0.7,1.1786,1.2687
0.7,1.1454,1.2636
0.7,1.1755,1.2846
0.7,1.208,1.2989
0.7,1.1597,1.3185
0.7,1.1548,1.2801
